date,temperature_2m_mean,daylight_duration,sunshine_duration,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,location
2020-03-08 23:00:00+00:00,-6.1355834,41617.414,9220.21,10.300002,18.0,5.991594,282.9692,7.09,"47.0148862689,9.2490818321"
2020-03-09 23:00:00+00:00,-6.337666,41820.223,0.0,13.100001,16.0,7.2359104,201.15579,3.46,"47.0148862689,9.2490818321"
2020-03-10 23:00:00+00:00,-0.9376667,42022.492,2384.336,0.6,3.0,5.0142193,232.58029,6.1,"47.0148862689,9.2490818321"
2020-03-11 23:00:00+00:00,1.8873335,42224.094,38685.074,1.3,5.0,7.2359104,250.1884,14.29,"47.0148862689,9.2490818321"
2020-03-12 23:00:00+00:00,-4.479334,42424.88,9621.5205,7.7,13.0,7.754637,322.74768,6.69,"47.0148862689,9.2490818321"
2020-03-13 23:00:00+00:00,-5.7522507,42624.953,21944.559,0.9000001,7.0,6.297428,301.42944,12.38,"47.0148862689,9.2490818321"
2020-03-14 23:00:00+00:00,-4.9605837,42825.777,39296.492,0.0,0.0,9.826088,172.24698,17.83,"47.0148862689,9.2490818321"
2020-03-15 23:00:00+00:00,-1.8835001,43027.55,39425.945,0.0,0.0,9.885262,172.54585,18.04,"47.0148862689,9.2490818321"
2020-03-16 23:00:00+00:00,1.0248333,43230.137,39545.14,0.0,0.0,3.8773184,251.56496,17.77,"47.0148862689,9.2490818321"
2020-03-17 23:00:00+00:00,0.9935837,43433.418,39607.188,0.0,0.0,4.452954,159.19312,18.75,"47.0148862689,9.2490818321"
2020-03-18 23:00:00+00:00,1.0977502,43637.266,39646.758,0.0,0.0,4.3498964,197.52567,18.98,"47.0148862689,9.2490818321"
2020-03-19 23:00:00+00:00,0.7123334,43841.56,39637.45,0.1,1.0,4.6800003,203.96251,18.16,"47.0148862689,9.2490818321"
2020-03-20 23:00:00+00:00,-1.4793334,44046.17,39600.0,0.0,0.0,3.96,86.531815,17.45,"47.0148862689,9.2490818321"
2020-03-21 23:00:00+00:00,-2.83975,44250.977,38743.543,2.0,5.0,6.3690495,101.10054,15.52,"47.0148862689,9.2490818321"
